Label,Serial Number (primary),Action Label,Remarks,probable action,,
PT0001,100001,0,Ranch,,,
PT0002,100002,0,Ranch,,,
PT0003,100006,0,Ranch,,,
PT0004,100032,0,Tanned,A004,,
PT0005,100037,0,Tanned,A004,,
PT0006,100038,0,Tanned,A004,,
PT0007,100049,0,Ranch,,,
PT0008,100061,0,Tanned,A004,,
PT0009,100086,A009,Spanner,,,
PT0010,100089,0,Ranch,,,
PT0011,100092,0,,,,
PT0012,100104,A010,,,,
PT0013,100150,A008,,,,
PT0014,100158,A008,,,,
PT0015,100159,A008,,,,
PT0016,100176,A008,,,,
PT0017,100178,A008,,,,
PT0018,100181,A008,,,,
PT0019,100211,A010,,,,
PT0020,100214,A010,,,,
PT0021,100215,A010,,,,
PT0022,100218,A010,,,,
PT0023,100223,A009,,,,
PT0024,100224,A010,,,,
PT0025,100260,A009,,,,
PT0026,100325,A003,,,,
PT0027,100343,A010,,,,
PT0028,100344,A003,,,,
PT0029,100347,0,,,,
PT0030,100349,0,,,,
PT0031,100358,0,,,,
PT0032,100359,A003,,,,
PT0033,100362,A003,,,,
PT0034,100364,A003,,,,
PT0035,100365,0,,,,
PT0036,100369,0,,,,
PT0037,100372,0,,,,
PT0038,100391,A008,,,,
PT0039,100400,A003,,,,
PT0040,100413,A003,,,,
PT0041,100469,0,,,,
PT0042,100481,A012,Hex,,,
PT0043,100485,0,,,,
PT0044,100498,0,,,,
PT0045,100505,0,Cylindrical,A004,,
PT0046,100514,0,Cylindrical,A004,,
PT0047,100577,0,Cylindrical,A004,,
PT0048,100644,0,,,,
PT0049,100710,A011,,,,
PT0050,100712,A011,,,,
PT0051,100716,A011,,,,
PT0052,100718,A011,,,,
PT0053,100823,0,,,,
PT0054,100829,0,,,,
PT0055,100831,0,,,,
PT0056,100833,0,,,,
PT0057,100843,0,,,,
PT0058,100850,0,,,,
PT0059,100854,0,,,,
PT0060,100912,0,Cylindrical,A004,,
PT0061,101068,A002,,,,
PT0062,101201,A013,,,,
PT0063,101221,A013,,,,
PT0064,101339,A014,,,,
PT0065,101343,A014,,,,
PT0066,101344,A014,,,,
PT0067,101345,A014,,,,
PT0068,101350,A014,,,,
PT0069,101351,A014,,,,
PT0070,101352,A014,,,,
PT0071,101353,A014,,,,
PT0072,101356,A014,,,,
PT0073,101357,A014,,,,
PT0074,101359,A014,,,,
PT0075,101360,A014,,,,
PT0076,101369,A014,,,,
PT0077,101372,A014,,,,
PT0078,101532,A014,,,,
PT0079,101560,0,,,,
PT0080,101776,0,,,,
PT0081,102138,0,,,,
PT0082,102323,0,,,,
PT0083,102367,0,,,,
PT0084,102428,0,,,,
PT0085,102534,0,,,,
PT0086,102553,0,,,,
PT0087,102646,0,,,,
PT0088,102715,0,,,,
PT0089,102728,0,,,,
PT0090,102956,0,,,,
PT0091,103114,0,,,,
PT0092,103430,0,,,,
PT0093,103651,0,,,,
PT0094,103693,0,,,,
PT0095,103717,0,,,,
PT0096,104080,0,,,,
PT0097,104171,0,,,,
PT0098,104257,A010,,,,
PT0099,104321,A010,,,,
PT0100,104323,A010,,,,
PT0101,104864,0,,,,
PT0102,104875,A011,,,,
PT0103,105016,A008,,,,
PT0104,105105,A008,,,,
PT0105,105107,A008,,,,
PT0106,105111,A008,,,,
PT0107,105251,A008,,,,
PT0108,105298,A001,,,,
PT0109,105330,A006,,,,
PT0110,105344,A001,,,,
PT0111,105346,0,,,,
PT0112,105867,0,,,,
PT0113,105917,A009,,,,
PT0114,106551,A007,,,,
PT0115,106574,A008,,,,
PT0116,106623,0,,,,
PT0117,106632,A003,,,,
PT0118,106675,0,,,,
PT0119,106720,0,,,,
PT0120,106916,A006,,,,
PT0121,106917,A001,,,,
PT0122,106918,A006,,,,
PT0123,106989,0,,,,
PT0124,106990,0,,,,
PT0125,107091,0,,,,
PT0126,107271,0,,,,
