//X Y Z Nx Ny Nz
9952
-224.297851562500 59.972946166992 -4.212007522583 0.998629 -0.052343 0.001026
-224.098129272461 63.784206390381 -226.101333618164 0.998629 -0.052343 0.001026
-221.435470581055 45.260177612305 -261.070312500000 0.000978 0.000978 -0.999999
-225.936248779297 29.719003677368 32.929687500000 0.000978 0.000978 0.999999
-222.693328857422 46.403854370117 32.929691314697 0.000978 0.000978 0.999999
-221.973709106445 65.777503967285 32.929691314697 0.000978 0.000978 0.999999
-222.195678710938 65.909523010254 32.929691314697 0.000978 0.000978 0.999999
-218.323120117188 60.733039855957 32.929691314697 0.000978 0.000978 0.999999
-224.827270507813 62.845741271973 32.929691314697 0.000978 0.000978 0.999999
-211.612884521484 60.373500823975 0.910941898823 0.005316 0.086124 -0.996270
-224.361541748047 58.263614654541 -1.945886492729 0.052009 0.994813 -0.087420
-223.875854492188 58.271392822266 -2.573954582214 0.052009 0.994813 0.087420
-216.510635375977 58.029106140137 -3.110585451126 0.046935 0.905185 0.422419
-220.289428710938 58.319919586182 -3.309290170670 0.046935 0.905185 0.422419
-221.704650878906 64.001976013184 -2.867378950119 -0.051012 -0.964250 0.260037
-221.051437377930 64.020523071289 -1.469877839088 -0.051012 -0.964250 -0.260037
-223.116958618164 60.184829711914 -223.245681762695 0.013301 0.257565 -0.966169
-219.290893554688 58.099731445313 -226.841308593750 0.051012 0.964250 0.260037
-213.063629150391 57.868797302246 -227.154129028320 0.046935 0.905185 0.422419
-222.372360229492 58.832992553711 -227.972534179688 0.043488 0.817863 0.573767
-218.822296142578 58.767990112305 -228.101242065430 0.038232 0.706590 0.706590
-214.657897949219 60.454872131348 -229.044662475586 0.005316 0.086124 0.996270
-215.087905883789 63.680671691895 -226.772521972656 -0.051012 -0.964250 0.260037
-223.611892700195 64.169486999512 -226.615646362305 -0.051012 -0.964250 0.260037
-218.878189086914 30.130687713623 -278.429046630859 -0.990125 0.140185 0.001104
-219.011932373047 29.494554519653 -281.612365722656 -0.951115 0.308835 0.001230
-224.110305786133 26.860528945923 -281.801208496094 0.308835 0.951115 0.001230
-225.174987792969 27.409139633179 -277.698822021484 0.615457 0.788169 0.001371
-225.400375366211 27.585229873657 -269.031127929688 0.615457 0.788169 0.001371
