PartName,SizeToAxisX,SizeToAxisY,SizeToAxisZ
step3.stl,464.67,900.57,385
hole_num,CenterX,CenterY,CenterZ
part2_1-hole_2,16.506,411.59,14.994
part3_1-hole_3,383.05,390.62,50.191
part6_1-hole_1,16.33,410.68,350.12
part6_1-hole_4,383.21,391.46,350.12
part6_1-hole_6,408.24,567.39,320.12
part6_1-hole_7,442.12,844.37,320.12
part6_1-hole_8,444.35,860.22,350.12
part6_1-hole_9,446.58,876.06,320.12
C122620_1_hole_1,36.521,435.62,72.963
C122620_2_hole_1,36.699,435.62,296.96
C122620_3_hole_1,362.87,414.96,265.15
C122620_4_hole_1,362.99,414.7,105.15
