Serial Number (primary),Action Label,Remarks,probable action,,
100001,0,Ranch,,,
100002,0,Ranch,,,
100006,0,Ranch,,,
100032,0,Tanned,,,
100037,0,Tanned,,,
100038,0,Tanned,,,
100049,0,Ranch,,,
100061,0,Tanned,,,
100086,0,Spanner,,,
100089,0,Ranch,,,
100092,0,,,,
100104,0,,,,
100150,0,,,,
100158,0,,,,
100159,0,,,,
100176,0,,,,
100178,0,,,,
100181,0,,,,
100211,0,,,,
100214,0,,,,
100215,0,,,,
100218,0,,,,
100223,0,,,,
100224,0,,,,
100260,0,,,,
100325,0,,,,
100343,0,,,,
100344,0,,,,
100347,0,,,,
100349,0,,,,
100358,0,,,,
100359,0,,,,
100362,0,,,,
100364,0,,,,
100365,0,,,,
100369,0,,,,
100372,0,,,,
100391,0,,,,
100400,0,,,,
100413,0,,,,
100469,0,,,,
100481,0,Hex,,,
100485,0,,,,
100498,0,,,,
100505,0,Cylindrical,,,
100514,0,Cylindrical,,,
100577,0,Cylindrical,,,
100644,0,,,,
100710,0,,,,
100712,0,,,,
100716,0,,,,
100718,0,,,,
100823,0,,,,
100829,0,,,,
100831,0,,,,
100833,0,,,,
100843,0,,,,
100850,0,,,,
100854,0,,,,
100912,0,Cylindrical,,,
101068,0,,,,
101201,0,,,,
101221,0,,,,
101339,0,,,,
101343,0,,,,
101344,0,,,,
101345,0,,,,
101350,A004,,,,
101351,0,,,,
101352,0,,,,
101353,0,,,,
101356,0,,,,
101357,0,,,,
101359,0,,,,
101360,0,,,,
101369,0,,,,
101372,0,,,,
101532,0,,,,
101560,0,,,,
101776,0,,,,
102138,0,,,,
102323,0,,,,
102367,0,,,,
102428,0,,,,
102534,0,,,,
102553,0,,,,
102646,0,,,,
102715,0,,,,
102728,0,,,,
102956,0,,,,
103114,0,,,,
103430,0,,,,
103651,0,,,,
103693,0,,,,
103717,0,,,,
104080,0,,,,
104171,0,,,,
104257,0,,,,
104322,A002,,,,
104323,0,,,,
104864,0,,,,
104875,0,,,,
105016,0,,,,
105105,0,,,,
105107,0,,,,
105111,0,,,,
105251,0,,,,
105298,0,,,,
105330,0,,,,
105344,0,,,,
105346,0,,,,
105867,0,,,,
105917,0,,,,
106551,0,,,,
106574,0,,,,
106623,0,,,,
106632,0,,,,
106675,0,,,,
106720,0,,,,
106916,0,,,,
106917,0,,,,
106918,0,,,,
106989,0,,,,
106990,0,,,,
107091,0,,,,
107271,0,,,,
107407,0,,,,
107426,0,,,,
107581,0,,,,
107586,0,,,,
107675,0,,,,
107849,0,,,,
107971,0,,,,
108014,0,,,,
108184,0,Spanner,,,
108255,0,,,,
108357,0,,,,
108442,0,,,,
108443,0,,,,
108444,0,,,,
108458,0,,,,
108462,0,,,,
108490,0,Ranch,,,
108530,0,,,,
108768,0,,,,
108787,0,,,,
108870,0,,,,
109021,0,,,,
109041,0,,,,
109048,0,,,,
109049,0,,,,
109067,0,,,,
109111,0,,,,
109503,0,,,,
109510,0,,,,
109533,0,,,,
109535,0,,,,
109536,0,,,,
109538,0,,,,
109540,0,,,,
109558,0,,,,
109560,0,,,,
109565,0,,,,
109566,0,,,,
109567,0,,,,
109570,0,,,,
109571,0,,,,
109572,0,,,,
109594,0,,,,
109598,0,,,,
110126,0,,,,
110301,0,,,,
110359,0,,,,
110438,0,,,,
110467,0,,,,
110470,0,Spanner,,,
110519,0,,,,
110593,0,,,,
110597,0,,,,
110611,0,,,,
110630,0,,,,
110678,0,,,,
110729,0,,,,
110733,0,,,,
110912,0,,,,
111210,0,,,,
111374,0,,,,
111451,0,Tanned,,,
111556,0,,,,
111631,0,Ranch,,,
112074,0,,,,
112357,0,,,,
112482,0,,,,
112519,0,,,,
112628,0,,,,
112996,0,,,,
113107,0,Cylindrical,,,
113283,0,,,,
113287,0,,,,
113434,0,,,,
113453,0,Spanner,,,
113456,0,,,,
113928,0,,,,
114254,0,Nut,,,
114334,0,,,,
114420,0,,,,
114463,0,Ranch,,,
114509,0,Tanned,,,
114575,0,,,,
114577,0,Nut,,,
114594,0,,,,
114613,0,,,,
114667,0,,,,
114670,0,,,,
114671,0,,,,
114729,0,Tanned,,,
114794,0,"
","
","
","
"
114859,0,,,,
114946,0,,,,
114947,0,,,,
115307,0,,,,
115309,0,,,,
115312,0,,,,
115339,0,,,,
115443,0,,,,
115444,0,,,,
115447,0,,,,
115461,0,,,,
115753,0,,,,
115754,0,,,,
115908,0,,,,
115980,0,,,,
115982,0,,,,
115983,0,,,,
115992,0,,,,
116546,0,,,,
116562,0,Cylindrical,,,
116599,0,,,,
117215,0,,,,
117217,0,,,,
117218,0,Nut,,,
117229,0,,,,
117243,0,,,,
117375,0,,,,
117434,0,,,,
117444,0,,,,
117494,0,,,,
117550,0,,,,
117559,0,,,,
117616,0,,,,
117626,0,,,,
117710,0,,,,
118137,0,,,,
118250,0,,,,
118790,0,,,,
118832,0,,,,
119081,0,,,,
119250,0,,,,
120139,0,,,,
120171,0,,,,
120199,0,,,,
120200,0,,,,
120202,0,Ranch,,,
120262,0,,,,
120298,0,,,,
120833,0,,,,
120923,0,Hex,,,
120926,0,,,,
120938,0,,,,
121009,0,,,,
121030,0,,,,
121121,0,Cylindrical,,,
121186,0,,,,
121292,0,,,,
121714,0,,,,
121760,0,,,,
121762,0,,,,
121817,0,,,,
122158,0,,,,
122392,0,,,,
122483,0,,,,
122604,0,,,,
122620,A004,,,,
122925,A001,,,,
122973,0,,,,
123026,0,,,,
123256,0,,,,
123274,0,,,,
123433,0,,,,
123492,0,,,,
123595,0,,,,
123723,0,,,,
123756,0,,,,
123771,0,,,,
123787,0,,,,
123805,0,,,,
123840,0,,,,
124089,0,Hex,,,
124216,0,,,,
124217,0,,,,
124218,0,,,,
124325,0,Ranch,,,
124334,0,,,,
126847,0,,,,
126916,0,,,,
128419,0,,,,
128545,0,,,,
128546,0,,,,
128573,0,,,,
128605,0,,,,
128606,0,,,,
128632,0,Spanner,,,
128654,0,Hex,,,
128699,0,,,,
128758,0,,,,
128759,0,,,,
128785,0,,,,
128786,0,,,,
128815,0,,,,
129891,0,,,,
130419,0,,,,
130445,0,Ranch,,,
130449,0,,,,
130497,0,,,,
130616,0,,,,
130617,0,,,,
130618,0,,,,
130619,0,,,,
130700,0,,,,
130718,0,,,,
130739,0,,,,
130789,0,,,,
130872,0,,,,
130900,0,,,,
130915,0,,,,
131289,0,,,,
131348,0,,,,
131349,0,,,,
131352,0,,,,
131372,0,,,,
131384,0,,,,
133117,0,,,,
133203,0,,,,
133208,0,,,,
133304,0,,,,
139369,0,,,,
139411,0,,,,
139412,0,,,,
139434,0,,,,
139435,0,,,,
139513,0,,,,
141144,0,,,,
141287,0,,,,
141413,0,,,,
141414,0,,,,
142115,0,,,,
142578,0,,,,
142657,0,,,,
143131,0,,,,
143205,0,,,,
144342,0,,,,
144343,0,,,,
144348,0,,,,
144364,0,,,,
144567,0,,,,
144854,0,,,,
145706,0,,,,
145715,0,,,,
145717,0,,,,
145727,0,,,,
145743,0,,,,
146714,0,Spanner,,,
146900,0,,,,
147115,0,,,,
147901,0,,,,
147947,0,,,,
148986,0,,,,
149839,0,,,,
150448,0,,,,
150450,0,,,,
150452,0,,,,
150512,0,,,,
150521,0,,,,
150522,0,,,,
150688,0,,,,
150689,0,,,,
151599,0,,,,
151705,0,,,,
151706,0,,,,
151823,0,,,,
151930,0,,,,
151955,0,,,,
152478,0,,,,
152534,0,,,,
152642,0,,,,
152650,0,,,,
152651,0,,,,
152677,0,,,,
153359,0,Tanned,,,
153548,0,,,,
153549,0,,,,
153550,0,,,,
153551,0,,,,
153552,0,,,,
153760,0,,,,
153762,0,,,,
153807,0,,,,
153810,0,,,,
154001,0,,,,
154033,0,,,,
154160,0,,,,
154185,0,,,,
154409,0,,,,
155863,0,,,,
156436,0,,,,
156508,0,,,,
156613,0,,,,
156614,0,,,,
157084,0,,,,
157424,0,,,,
157433,0,,,,
157674,0,,,,
157966,0,,,,
158222,0,,,,
159134,0,Tanned,,,
190029,0,,,,
190169,0,,,,
190170,0,,,,
190232,0,,,,
190233,0,,,,
190372,0,,,,
190373,0,,,,
190727,0,,,,
190775,0,,,,
191186,0,,,,
191274,0,,,,
191405,0,,,,
191407,0,,,,
191409,0,,,,
192285,0,,,,
192805,0,,,,
194531,0,,,,
194548,0,,,,
195357,0,,,,
195419,0,,,,
195422,0,,,,
195464,0,,,,
195465,0,,,,
128787,0,,,,
305007,0,,,,
336990,0,,,,
10002570,0,,,,
10002581,0,,,,
10003193,0,,,,
10004662,0,,,,
10005601,0,"
",,,
10036516,0,,,,
10039501,0,,,,
10042205,0,,,,
10040625,0,,,,
10044290,0,,,,
TS0101,0,,,,
100507,0,Cylindrical,,,
100033,0,Tanned,,,
101375,0,,,,
110308,0,,,,
