//X Y Z Nx Ny Nz
10008
124.783981323242 41.541221618652 -0.225976824760 -0.558043 0.428881 -0.710387
121.257720947266 38.029930114746 -1.953340768814 -0.047088 0.706322 -0.706322
119.261222839355 39.796863555908 -0.592886209488 0.268677 0.650230 -0.710643
119.164978027344 38.722698211670 -1.625830054283 0.227353 0.669517 -0.707148
124.438148498535 43.866279602051 2.261579513550 -0.991465 0.130369 0.001096
124.426651000977 43.778896331787 16.804666519165 -0.991465 0.130369 0.001096
123.162132263184 41.678508758545 1.964108467102 -0.609379 0.792878 0.001369
121.206253051758 40.994010925293 16.501640319824 -0.130369 0.991465 0.001096
122.041946411133 41.104061126709 11.032391548157 -0.130369 0.991465 0.001096
120.100761413574 41.204040527344 17.331043243408 0.381263 0.924466 0.001275
119.193481445313 41.703716278076 13.142948150635 0.609379 0.792878 0.001369
122.987586975098 42.108047485352 18.284334182739 -0.316653 0.412421 -0.854190
185.766906738281 512.120788574219 0.760798633099 -0.669517 0.227353 -0.707148
180.730117797852 508.786712646484 -0.258092880249 0.268677 0.650230 -0.710643
185.593353271484 512.715209960938 8.282745361328 -0.991465 0.130369 0.001096
183.392333984375 509.948730468750 7.305518150330 -0.381263 0.924466 0.001275
182.408599853516 509.762573242188 8.042902946472 -0.130369 0.991465 0.001096
180.129653930664 510.623718261719 14.284545898438 0.609379 0.792878 0.001369
179.755249023438 511.044525146484 8.785278320313 0.792878 0.609379 0.001369
179.380187988281 511.644195556641 7.223147392273 0.924466 0.381263 0.001275
-251.243927001953 62.722888946533 -36.311355590820 0.698214 0.092217 -0.709924
-241.468444824219 62.181774139404 -35.115848541260 -0.669517 0.227353 -0.707148
-241.617126464844 61.197944641113 -35.368946075439 -0.635305 0.311994 -0.706433
-243.877349853516 58.404666900635 -36.121803283691 -0.227353 0.669517 -0.707148
-244.716827392578 58.804695129395 -35.509525299072 -0.136493 0.694464 -0.706463
-246.960296630859 59.875766754150 -34.565074920654 0.268677 0.650230 -0.710643
-242.404449462891 63.348018646240 -31.768028259277 -0.991465 0.130369 0.001096
-243.700302124023 60.916202545166 -17.277097702026 -0.609379 0.792878 0.001369
-244.499618530273 60.468044281006 -26.998676300049 -0.381263 0.924466 0.001275
-246.654525756836 60.381240844727 -31.892360687256 0.381263 0.924466 0.001275
-247.361343383789 60.684440612793 -22.737510681152 0.609379 0.792878 0.001369
-248.883041381836 62.769195556641 -32.962303161621 0.991465 0.130369 0.001096
180.571853637695 528.842651367188 19.750694274902 0.991465 0.130369 0.001096
182.425918579102 525.539855957031 25.447700500488 0.609379 0.792878 0.001369
181.952194213867 525.903381347656 26.213659286499 0.609379 0.792878 0.001369
179.918060302734 511.770538330078 23.727527618408 0.924466 0.381263 0.001275
181.213516235352 510.567901611328 19.649677276611 0.381263 0.924466 0.001275
185.069305419922 512.912292480469 27.754608154297 -0.991465 0.130369 0.001096
176.175338745117 496.720977783203 21.939502716064 0.991465 0.130369 0.001096
177.680877685547 494.075012207031 20.862384796143 0.609379 0.792878 0.001369
177.826828002930 493.963012695313 27.458322525024 0.609379 0.792878 0.001369
142.482467651367 218.920120239258 26.589778900146 0.924466 0.381263 0.001275
142.985061645508 217.946746826172 24.510833740234 0.792878 0.609379 0.001369
143.496109008789 217.329742431641 27.302810668945 0.609379 0.792878 0.001369
144.995178222656 216.448562622070 24.043560028076 0.381263 0.924466 0.001275
149.791320800781 218.455413818359 24.630275726318 -0.924466 0.381263 0.001275
116.418975830078 27.842607498169 24.122463226318 0.991465 0.130369 0.001096
119.282943725586 24.466606140137 26.047792434692 0.381263 0.924466 0.001275
123.721748352051 26.184988021851 24.579948425293 -0.792878 0.609379 0.001369
119.017768859863 57.683723449707 27.683025360107 0.792878 0.609379 0.001369
119.849731445313 56.945957183838 19.661764144897 0.609379 0.792878 0.001369
121.518959045410 56.337993621826 25.084697723389 0.130369 0.991465 0.001096
121.642379760742 41.601421356201 21.089418411255 -0.130369 0.991465 0.001096
-246.393066406250 43.558227539063 -15.099813461304 -0.130369 0.991465 0.001096
-244.628646850586 44.032176971436 -13.647373199463 -0.381263 0.924466 0.001275
-245.335235595703 43.739475250244 -8.461925506592 -0.381263 0.924466 0.001275
-243.536987304688 44.913616180420 -12.896497726440 -0.792878 0.609379 0.001369
-242.856735229492 46.020549774170 -14.176815032959 -0.924466 0.381263 0.001275
-248.839965820313 79.463539123535 -8.579223632813 0.991465 0.130369 0.001096
-244.143737792969 75.589965820313 -15.244312286377 -0.130369 0.991465 0.001096
-243.103958129883 75.926124572754 -11.948032379150 -0.381263 0.924466 0.001275
-248.325942993164 62.778450012207 -13.804498672485 0.924466 0.381263 0.001275
-246.621459960938 60.957759857178 -10.808797836304 0.381263 0.924466 0.001275
-243.769897460938 61.550094604492 -9.126111984253 -0.609379 0.792878 0.001369
-243.631011962891 61.713634490967 -10.122097015381 -0.792878 0.609379 0.001369
-232.010803222656 -325.061279296875 -26.521629333496 0.999999 0.000978 0.000978
-232.010803222656 -343.274261474609 -13.761484146118 0.999999 0.000978 0.000978
-232.010803222656 -327.180847167969 -11.363218307495 0.999999 0.000978 0.000978
-232.010803222656 -309.960418701172 -26.089792251587 0.999999 0.000978 0.000978
-232.010803222656 -342.614532470703 -30.300167083740 0.999999 0.000978 0.000978
-232.010803222656 -338.730224609375 -28.776496887207 0.999999 0.000978 0.000978
-232.010803222656 -325.360748291016 -26.013193130493 0.999999 0.000978 0.000978
-232.010803222656 -335.782531738281 -31.241178512573 0.999999 0.000978 0.000978
-232.010803222656 -332.823547363281 -16.991868972778 0.999999 0.000978 0.000978
-232.010803222656 -323.250762939453 -20.180082321167 0.999999 0.000978 0.000978
-232.010803222656 -283.990447998047 -19.877948760986 0.999999 0.000978 0.000978
-232.010803222656 -282.180419921875 -12.903331756592 0.999999 0.000978 0.000978
-232.010803222656 -331.790313720703 -19.329145431519 0.999999 0.000978 0.000978
-232.010803222656 -293.860961914063 -15.283577919006 0.999999 0.000978 0.000978
-232.010803222656 -317.514648437500 -23.053663253784 0.999999 0.000978 0.000978
-232.010803222656 -316.159179687500 -26.283000946045 0.999999 0.000978 0.000978
-232.010803222656 -337.761138916016 -33.583301544189 0.999999 0.000978 0.000978
-232.010803222656 -306.941833496094 -27.484350204468 0.999999 0.000978 0.000978
-232.010803222656 -288.793701171875 -17.866594314575 0.999999 0.000978 0.000978
-232.010803222656 -290.851623535156 -12.228468894958 0.999999 0.000978 0.000978
-232.010803222656 -305.012329101563 -23.601881027222 0.999999 0.000978 0.000978
-232.010803222656 -293.730072021484 -23.871553421021 0.999999 0.000978 0.000978
-232.010803222656 -256.415466308594 -15.378993034363 0.999999 0.000978 0.000978
-232.010803222656 -267.665679931641 -15.646291732788 0.999999 0.000978 0.000978
-232.010803222656 -270.704864501953 -18.196243286133 0.999999 0.000978 0.000978
-232.010803222656 -323.677368164063 -30.548858642578 0.999999 0.000978 0.000978
-232.010803222656 -304.926147460938 -12.830835342407 0.999999 0.000978 0.000978
-232.010803222656 -283.913482666016 -21.816291809082 0.999999 0.000978 0.000978
-232.010803222656 -321.224243164063 -15.291471481323 0.999999 0.000978 0.000978
