//X Y Z Nx Ny Nz
9988
-256.418609619141 -9.615341186523 200.029602050781 0.000978 0.000978 0.999999
-262.374542236328 -11.609184265137 200.029602050781 0.000978 0.000978 0.999999
-257.609039306641 -9.264856338501 197.763244628906 0.684318 -0.182997 -0.705847
-258.537994384766 -8.753322601318 172.647308349609 0.965696 -0.259673 0.001197
-259.002777099609 -9.810276985168 186.641265869141 0.819933 -0.572458 0.001360
-259.089385986328 -9.933971405029 169.579498291016 0.819933 -0.572458 0.001360
-260.006591796875 -10.727938652039 166.472946166992 0.421606 -0.906778 0.001297
-260.870544433594 -11.043999671936 181.354888916016 0.259673 -0.965696 0.001197
-261.583404541016 -11.096774101257 191.027099609375 -0.087863 -0.996132 0.001059
-263.104888916016 -10.603580474854 177.725875854492 -0.572458 -0.819933 0.001360
-263.821075439453 -9.944712638855 191.404312133789 -0.819933 -0.572458 0.001360
-264.026245117188 -9.651692390442 171.428009033203 -0.819933 -0.572458 0.001360
-264.077850341797 -9.563093185425 175.535217285156 -0.906778 -0.421606 0.001297
-264.427673339844 -8.465544700623 182.107040405273 -0.996132 -0.087863 0.001059
-264.377655029297 -7.453211307526 148.708877563477 -0.965696 0.259673 0.001197
-264.091766357422 -6.682042121887 164.257492065430 -0.906778 0.421606 0.001297
-260.587493896484 -5.247166633606 154.020980834961 0.259673 0.965696 0.001197
167.583267211914 440.560333251953 162.442382812500 -0.756799 0.650127 0.067752
167.901397705078 440.715911865234 164.744094848633 0.000978 0.999999 0.000978
165.850708007813 442.762908935547 164.677337646484 0.999999 0.000978 0.000978
166.375152587891 445.039825439453 162.359848022461 -0.061807 0.705755 -0.705755
163.553512573242 437.997283935547 163.297821044922 -0.501575 -0.501575 -0.704872
169.537902832031 441.165161132813 109.809715270996 0.996132 -0.087863 0.001059
169.456863403320 440.687469482422 126.592147827148 0.965696 -0.259673 0.001197
168.251708984375 438.961578369141 131.582885742188 0.572458 -0.819933 0.001360
167.933563232422 438.768524169922 122.995239257813 0.421606 -0.906778 0.001297
167.508316040039 438.585815429688 125.263214111328 0.259673 -0.965696 0.001197
166.539489746094 438.427764892578 157.452392578125 -0.087863 -0.996132 0.001059
165.150405883789 438.786010742188 140.017364501953 -0.421606 -0.906778 0.001297
164.475418090820 439.284729003906 105.272155761719 -0.707106 -0.707106 0.001384
163.608078002930 441.953491210938 149.891036987305 -0.965696 0.259673 0.001197
164.128707885742 443.163085937500 157.747238159180 -0.819933 0.572458 0.001360
167.499069213867 444.268493652344 159.981262207031 0.259673 0.965696 0.001197
167.900497436523 444.098693847656 121.868118286133 0.421606 0.906778 0.001297
168.493301391602 443.719787597656 146.800064086914 0.707106 0.707106 0.001384
168.532470703125 443.680633544922 111.068733215332 0.707106 0.707106 0.001384
106.640075683594 -28.075952529907 163.755310058594 -0.845571 0.529364 0.069170
104.541343688965 -27.677188873291 105.029602050781 0.000978 0.000978 -0.999999
108.066184997559 -28.725530624390 136.884552001953 0.906778 -0.421606 0.001297
106.437286376953 -30.155485153198 110.037002563477 0.259673 -0.965696 0.001197
105.405937194824 -30.333839416504 105.401458740234 -0.087863 -0.996132 0.001059
104.341567993164 -30.130811691284 124.217636108398 -0.421606 -0.906778 0.001297
103.100715637207 -29.237049102783 155.915252685547 -0.819933 -0.572458 0.001360
102.831169128418 -28.852104187012 107.880027770996 -0.819933 -0.572458 0.001360
102.658302307129 -28.490047454834 106.459953308105 -0.906778 -0.421606 0.001297
102.471855163574 -27.889848709106 134.373977661133 -0.965696 -0.259673 0.001197
102.532508850098 -26.553461074829 147.637420654297 -0.965696 0.259673 0.001197
103.938446044922 -24.726810455322 117.647247314453 -0.421606 0.906778 0.001297
104.328514099121 -24.544921875000 148.071807861328 -0.421606 0.906778 0.001297
107.212417602539 -24.943500518799 160.019943237305 0.572458 0.819933 0.001360
107.027259826660 -24.813850402832 119.164100646973 0.572458 0.819933 0.001360
108.360618591309 -26.773025512695 123.304367065430 0.965696 0.259673 0.001197
108.381332397461 -26.925497055054 143.041442871094 0.996132 0.087863 0.001059
-261.387268066406 -11.310562133789 -199.775680541992 0.001310 0.894688 -0.446689
-259.207855224609 -7.973371982574 -197.866683959961 -0.894688 0.001310 -0.446689
-257.691680908203 -5.405992031097 -199.970397949219 0.000978 0.000978 -0.999999
-260.623168945313 -6.028848648071 -139.970397949219 0.000978 0.000978 0.999999
-264.058776855469 -9.603951454163 -182.316436767578 -0.906778 -0.421606 0.001297
-263.971984863281 -9.729144096375 -195.164382934570 -0.819933 -0.572458 0.001360
-263.944641113281 -9.768191337585 -143.584655761719 -0.819933 -0.572458 0.001360
-263.702941894531 -10.090190887451 -163.335510253906 -0.707106 -0.707106 0.001384
-262.758544921875 -10.799187660217 -152.872497558594 -0.421606 -0.906778 0.001297
-260.219360351563 -10.827135086060 -165.228698730469 0.421606 -0.906778 0.001297
-258.862396240234 -9.609800338745 -183.730102539063 0.819933 -0.572458 0.001360
-258.602966308594 -7.219511032104 -150.705596923828 0.965696 0.259673 0.001197
-261.934753417969 -5.149271488190 -182.233657836914 -0.087863 0.996132 0.001059
-263.644012451172 -6.066168308258 -163.123245239258 -0.707106 0.707106 0.001384
-264.028076171875 -6.566241741180 -192.298675537109 -0.819933 0.572458 0.001360
-264.077117919922 -6.650619029999 -191.307891845703 -0.906778 0.421606 0.001297
-264.260711669922 -7.044346332550 -165.892593383789 -0.906778 0.421606 0.001297
-264.360504150391 -7.389237403870 -186.089721679688 -0.965696 0.259673 0.001197
-264.379180908203 -7.458867549896 -177.706512451172 -0.965696 0.259673 0.001197
-264.413757324219 -7.590503215790 -148.515945434570 -0.996132 0.087863 0.001059
106.405395507813 -26.377111434937 -162.927261352539 -0.705324 -0.705324 -0.070967
100.506774902344 -30.092319488525 -164.970397949219 0.000978 0.000978 -0.999999
105.830513000488 -24.723287582397 -104.970397949219 0.000978 0.000978 0.999999
102.440162658691 -27.071763992310 -120.380271911621 -0.996132 0.087863 0.001059
102.562721252441 -28.228969573975 -150.286682128906 -0.965696 -0.259673 0.001197
102.893562316895 -28.941196441650 -105.323364257813 -0.819933 -0.572458 0.001360
103.124732971191 -29.268892288208 -137.367309570313 -0.707106 -0.707106 0.001384
103.806236267090 -29.855226516724 -154.349945068359 -0.572458 -0.819933 0.001360
104.640899658203 -30.220829010010 -139.180526733398 -0.259673 -0.965696 0.001197
104.934875488281 -30.292617797852 -156.998962402344 -0.087863 -0.996132 0.001059
105.333084106445 -30.327457427979 -107.376564025879 -0.087863 -0.996132 0.001059
105.829421997070 -30.298742294312 -127.388343811035 0.087863 -0.996132 0.001059
106.617538452148 -30.072595596313 -146.156799316406 0.421606 -0.906778 0.001297
106.610626220703 -30.075820922852 -114.935508728027 0.421606 -0.906778 0.001297
108.374588012695 -26.848421096802 -137.710174560547 0.996132 0.087863 0.001059
108.369338989258 -26.805576324463 -154.485260009766 0.965696 0.259673 0.001197
108.325576782227 -26.642234802246 -118.708877563477 0.965696 0.259673 0.001197
108.093009948730 -26.001625061035 -143.712295532227 0.906778 0.421606 0.001297
107.969627380371 -25.769697189331 -111.128395080566 0.819933 0.572458 0.001360
107.386016845703 -25.077192306519 -130.759857177734 0.707106 0.707106 0.001384
107.234992980957 -24.959295272827 -123.501007080078 0.572458 0.819933 0.001360
104.191047668457 -24.609012603760 -132.895294189453 -0.421606 0.906778 0.001297
103.134788513184 -25.390666961670 -131.745117187500 -0.707106 0.707106 0.001384
126.630401611328 149.744476318359 -134.033172607422 0.974073 -0.226229 0.001172
130.022796630859 152.562469482422 -125.760337829590 0.123096 -0.992394 0.001089
134.291290283203 147.499450683594 -129.077728271484 -0.974073 0.226229 0.001172
132.819610595703 151.817321777344 134.404113769531 -0.544370 -0.838844 0.001351
131.147811889648 152.530822753906 127.933265686035 -0.226229 -0.974073 0.001172
127.252326965332 150.984115600586 132.552154541016 0.838844 -0.544370 0.001351
127.816383361816 145.613952636719 133.282653808594 0.683251 0.730182 0.001380
135.498123168945 132.744918823242 -63.882450103760 -0.140185 -0.990125 0.001104
129.182037353516 133.632583618164 101.322349548340 -0.140185 -0.990125 0.001104
137.514724731445 132.461502075195 39.161109924316 -0.140185 -0.990125 0.001104
122.955902099609 134.507614135742 134.178955078125 -0.140185 -0.990125 0.001104
136.293426513672 132.633148193359 12.484907150269 -0.140185 -0.990125 0.001104
134.627090454102 132.867340087891 44.182365417480 -0.140185 -0.990125 0.001104
137.368438720703 132.482070922852 75.602760314941 -0.140185 -0.990125 0.001104
135.351165771484 132.765579223633 123.506614685059 -0.140185 -0.990125 0.001104
130.103591918945 133.503082275391 -5.820533752441 -0.140185 -0.990125 0.001104
136.847274780273 132.555313110352 31.155658721924 -0.140185 -0.990125 0.001104
137.306365966797 132.490783691406 -89.146263122559 -0.140185 -0.990125 0.001104
132.483734130859 133.168563842773 89.399757385254 -0.140185 -0.990125 0.001104
134.575775146484 132.874542236328 38.066688537598 -0.140185 -0.990125 0.001104
132.803756713867 133.123596191406 91.466659545898 -0.140185 -0.990125 0.001104
129.669860839844 133.564025878906 -15.856079101563 -0.140185 -0.990125 0.001104
133.448364257813 133.033004760742 11.976875305176 -0.140185 -0.990125 0.001104
129.716537475586 133.557464599609 108.189460754395 -0.140185 -0.990125 0.001104
130.597686767578 133.433639526367 37.631256103516 -0.140185 -0.990125 0.001104
119.221549987793 135.032440185547 129.895462036133 -0.140185 -0.990125 0.001104
127.745536804199 133.834472656250 20.487899780273 -0.140185 -0.990125 0.001104
137.863296508789 132.412521362305 134.652099609375 -0.140185 -0.990125 0.001104
126.029205322266 134.075698852539 78.676315307617 -0.140185 -0.990125 0.001104
130.699905395508 133.419265747070 -23.350540161133 -0.140185 -0.990125 0.001104
130.950912475586 133.383987426758 126.938629150391 -0.140185 -0.990125 0.001104
136.355209350586 132.624465942383 -43.628044128418 -0.140185 -0.990125 0.001104
134.343246459961 132.907226562500 11.813938140869 -0.140185 -0.990125 0.001104
132.066726684570 133.227172851563 -47.075759887695 -0.140185 -0.990125 0.001104
125.674232482910 134.125579833984 53.096099853516 -0.140185 -0.990125 0.001104
128.571929931641 133.718338012695 78.993804931641 -0.140185 -0.990125 0.001104
135.250061035156 132.779785156250 -93.688262939453 -0.140185 -0.990125 0.001104
137.505630493164 132.462783813477 -86.016250610352 -0.140185 -0.990125 0.001104
131.780822753906 133.267349243164 33.934738159180 -0.140185 -0.990125 0.001104
137.973022460938 132.397094726563 -107.975761413574 -0.140185 -0.990125 0.001104
130.377197265625 133.464614868164 100.847251892090 -0.140185 -0.990125 0.001104
129.699768066406 133.559829711914 50.672058105469 -0.140185 -0.990125 0.001104
121.250694274902 134.747268676758 -9.229934692383 -0.140185 -0.990125 0.001104
133.066085815430 133.086730957031 -93.836914062500 -0.140185 -0.990125 0.001104
134.746704101563 132.850524902344 -88.243568420410 -0.140185 -0.990125 0.001104
127.491577148438 133.870162963867 7.742828369141 -0.140185 -0.990125 0.001104
130.437377929688 133.456161499023 -47.398185729980 -0.140185 -0.990125 0.001104
119.551315307617 134.986099243164 17.915847778320 -0.140185 -0.990125 0.001104
120.692535400391 134.825714111328 -63.802124023438 -0.140185 -0.990125 0.001104
127.532966613770 133.864349365234 -47.196784973145 -0.140185 -0.990125 0.001104
126.639633178711 133.989898681641 -103.656097412109 -0.140185 -0.990125 0.001104
118.729270935059 135.101623535156 -126.788085937500 -0.140185 -0.990125 0.001104
128.762802124023 133.691513061523 -13.025039672852 -0.140185 -0.990125 0.001104
121.115028381348 134.766342163086 94.972747802734 -0.140185 -0.990125 0.001104
121.471031188965 134.716308593750 64.790740966797 -0.140185 -0.990125 0.001104
122.659706115723 134.549240112305 -26.629508972168 -0.140185 -0.990125 0.001104
119.562255859375 134.984558105469 -96.191871643066 -0.140185 -0.990125 0.001104
122.929168701172 134.511367797852 -18.734703063965 -0.140185 -0.990125 0.001104
121.476470947266 134.715530395508 -78.213760375977 -0.140185 -0.990125 0.001104
122.761108398438 134.534988403320 -85.317749023438 -0.140185 -0.990125 0.001104
120.902717590332 134.796173095703 10.824905395508 -0.140185 -0.990125 0.001104
129.814010620117 133.543777465820 -42.027626037598 -0.140185 -0.990125 0.001104
130.463500976563 133.452499389648 -71.663887023926 -0.140185 -0.990125 0.001104
133.440963745117 133.034042358398 -111.209625244141 -0.140185 -0.990125 0.001104
121.104347229004 134.767837524414 -20.223098754883 -0.140185 -0.990125 0.001104
127.204696655273 133.910491943359 -72.649475097656 -0.140185 -0.990125 0.001104
119.784217834473 134.953369140625 -116.120285034180 -0.140185 -0.990125 0.001104
122.298225402832 134.600051879883 -84.897689819336 -0.140185 -0.990125 0.001104
125.624832153320 134.132522583008 -67.401435852051 -0.140185 -0.990125 0.001104
135.705764770508 132.715744018555 -103.708549499512 -0.140185 -0.990125 0.001104
121.553916931152 134.704650878906 30.013916015625 -0.140185 -0.990125 0.001104
130.136932373047 133.498382568359 -28.805152893066 -0.140185 -0.990125 0.001104
125.083389282227 134.208618164063 -96.131881713867 -0.140185 -0.990125 0.001104
124.609092712402 134.275283813477 14.812088012695 -0.140185 -0.990125 0.001104
122.111503601074 134.626296997070 -0.900543212891 -0.140185 -0.990125 0.001104
122.373512268066 134.589462280273 49.389831542969 -0.140185 -0.990125 0.001104
122.969795227051 134.505661010742 43.730377197266 -0.140185 -0.990125 0.001104
121.064498901367 134.773437500000 -133.726119995117 -0.140185 -0.990125 0.001104
119.171409606934 140.159973144531 -51.485050201416 -0.990125 0.140185 0.001104
120.121208190918 146.918136596680 93.452819824219 -0.990125 0.140185 0.001104
119.674743652344 143.741363525391 13.988739013672 -0.990125 0.140185 0.001104
120.583061218262 150.204406738281 131.816406250000 -0.990125 0.140185 0.001104
119.820480346680 144.778335571289 57.996826171875 -0.990125 0.140185 0.001104
119.969032287598 145.835327148438 56.050514221191 -0.990125 0.140185 0.001104
119.637702941895 143.477813720703 -29.704833984375 -0.990125 0.140185 0.001104
120.374862670898 148.722991943359 72.426513671875 -0.990125 0.140185 0.001104
118.478843688965 135.232101440430 57.262760162354 -0.990125 0.140185 0.001104
118.482124328613 135.255432128906 -132.263061523438 -0.990125 0.140185 0.001104
120.227668762207 147.675643920898 133.877075195313 -0.990125 0.140185 0.001104
119.435638427734 142.040054321289 -66.835769653320 -0.990125 0.140185 0.001104
122.259307861328 162.131484985352 118.661811828613 -0.990125 0.140185 0.001104
118.575828552246 135.922180175781 18.278013229370 -0.990125 0.140185 0.001104
118.926147460938 138.414810180664 -101.238967895508 -0.990125 0.140185 0.001104
118.811172485352 137.596740722656 -106.547271728516 -0.990125 0.140185 0.001104
119.269355773926 140.856872558594 -64.273544311523 -0.990125 0.140185 0.001104
119.299995422363 141.074890136719 91.251350402832 -0.990125 0.140185 0.001104
118.510070800781 135.454284667969 -27.976806640625 -0.990125 0.140185 0.001104
119.506561279297 142.544708251953 39.531135559082 -0.990125 0.140185 0.001104
119.539428710938 142.778564453125 45.372688293457 -0.990125 0.140185 0.001104
120.230033874512 147.692459106445 72.440986633301 -0.990125 0.140185 0.001104
120.093605041504 146.721725463867 45.538955688477 -0.990125 0.140185 0.001104
119.773696899414 144.445449829102 108.284332275391 -0.990125 0.140185 0.001104
118.942657470703 138.532318115234 -101.791351318359 -0.990125 0.140185 0.001104
118.470985412598 135.176193237305 -128.290039062500 -0.990125 0.140185 0.001104
119.695411682129 143.888397216797 94.598083496094 -0.990125 0.140185 0.001104
119.173286437988 140.173324584961 129.476669311523 -0.990125 0.140185 0.001104
120.649475097656 150.676940917969 14.031265258789 -0.990125 0.140185 0.001104
121.136901855469 154.145172119141 109.376991271973 -0.990125 0.140185 0.001104
119.793067932129 144.583297729492 74.184959411621 -0.990125 0.140185 0.001104
118.516403198242 135.499328613281 48.876777648926 -0.990125 0.140185 0.001104
