Blender 2.82 (sub 7)
Read prefs: /home/isaackang/.config/blender/2.82/config/userpref.blend
Info: Deleted 3 object(s)
Fra:1 Mem:174.94M (0.00M, Peak 175.22M) | Time:00:00.15 | Syncing Camera
Fra:1 Mem:174.94M (0.00M, Peak 175.22M) | Time:00:00.15 | Syncing Origin
Fra:1 Mem:174.94M (0.00M, Peak 175.22M) | Time:00:00.15 | Syncing 0@part1
Fra:1 Mem:175.27M (0.00M, Peak 175.55M) | Time:00:00.15 | Syncing 1@part2
Fra:1 Mem:175.34M (0.00M, Peak 175.55M) | Time:00:00.17 | Rendering 1 / 64 samples
Fra:1 Mem:175.28M (0.00M, Peak 175.55M) | Time:00:00.25 | Rendering 26 / 64 samples
Fra:1 Mem:175.28M (0.00M, Peak 175.55M) | Time:00:00.29 | Rendering 51 / 64 samples
Fra:1 Mem:175.28M (0.00M, Peak 175.55M) | Time:00:00.31 | Rendering 64 / 64 samples
Fra:1 Mem:91.92M (0.00M, Peak 175.55M) | Time:00:00.39 | Freestyle: Mesh loading
Fra:1 Mem:91.92M (0.00M, Peak 175.55M) | Time:00:00.40 | Freestyle: View map creation
Fra:1 Mem:91.92M (0.00M, Peak 175.55M) | Time:00:00.40 | Freestyle: Visibility computations 0%
Fra:1 Mem:91.92M (0.00M, Peak 175.55M) | Time:00:00.40 | Freestyle: Visibility computations 1%
Fra:1 Mem:91.92M (0.00M, Peak 175.55M) | Time:00:00.40 | Freestyle: Visibility computations 2%
Fra:1 Mem:91.92M (0.00M, Peak 175.55M) | Time:00:00.40 | Freestyle: Visibility computations 3%
Fra:1 Mem:91.92M (0.00M, Peak 175.55M) | Time:00:00.40 | Freestyle: Visibility computations 4%
Fra:1 Mem:91.92M (0.00M, Peak 175.55M) | Time:00:00.40 | Freestyle: Visibility computations 5%
Fra:1 Mem:91.92M (0.00M, Peak 175.55M) | Time:00:00.40 | Freestyle: Visibility computations 6%
Fra:1 Mem:91.92M (0.00M, Peak 175.55M) | Time:00:00.40 | Freestyle: Visibility computations 7%
Fra:1 Mem:91.92M (0.00M, Peak 175.55M) | Time:00:00.40 | Freestyle: Visibility computations 8%
Fra:1 Mem:91.92M (0.00M, Peak 175.55M) | Time:00:00.40 | Freestyle: Visibility computations 9%
Fra:1 Mem:91.92M (0.00M, Peak 175.55M) | Time:00:00.40 | Freestyle: Visibility computations 10%
Fra:1 Mem:91.92M (0.00M, Peak 175.55M) | Time:00:00.40 | Freestyle: Visibility computations 11%
Fra:1 Mem:91.92M (0.00M, Peak 175.55M) | Time:00:00.40 | Freestyle: Visibility computations 12%
Fra:1 Mem:91.92M (0.00M, Peak 175.55M) | Time:00:00.40 | Freestyle: Visibility computations 13%
Fra:1 Mem:91.92M (0.00M, Peak 175.55M) | Time:00:00.40 | Freestyle: Visibility computations 14%
Fra:1 Mem:91.92M (0.00M, Peak 175.55M) | Time:00:00.40 | Freestyle: Visibility computations 15%
Fra:1 Mem:91.92M (0.00M, Peak 175.55M) | Time:00:00.40 | Freestyle: Visibility computations 16%
Fra:1 Mem:91.92M (0.00M, Peak 175.55M) | Time:00:00.40 | Freestyle: Visibility computations 17%
Fra:1 Mem:91.92M (0.00M, Peak 175.55M) | Time:00:00.40 | Freestyle: Visibility computations 18%
Fra:1 Mem:91.92M (0.00M, Peak 175.55M) | Time:00:00.40 | Freestyle: Visibility computations 19%
Fra:1 Mem:91.92M (0.00M, Peak 175.55M) | Time:00:00.40 | Freestyle: Visibility computations 20%
Fra:1 Mem:91.92M (0.00M, Peak 175.55M) | Time:00:00.40 | Freestyle: Visibility computations 21%
Fra:1 Mem:91.92M (0.00M, Peak 175.55M) | Time:00:00.40 | Freestyle: Visibility computations 23%
Fra:1 Mem:91.92M (0.00M, Peak 175.55M) | Time:00:00.40 | Freestyle: Visibility computations 24%
Fra:1 Mem:91.92M (0.00M, Peak 175.55M) | Time:00:00.40 | Freestyle: Visibility computations 25%
Fra:1 Mem:91.92M (0.00M, Peak 175.55M) | Time:00:00.40 | Freestyle: Visibility computations 26%
Fra:1 Mem:91.92M (0.00M, Peak 175.55M) | Time:00:00.40 | Freestyle: Visibility computations 27%
Fra:1 Mem:91.92M (0.00M, Peak 175.55M) | Time:00:00.40 | Freestyle: Visibility computations 28%
Fra:1 Mem:91.92M (0.00M, Peak 175.55M) | Time:00:00.40 | Freestyle: Visibility computations 29%
Fra:1 Mem:91.92M (0.00M, Peak 175.55M) | Time:00:00.40 | Freestyle: Visibility computations 30%
Fra:1 Mem:91.92M (0.00M, Peak 175.55M) | Time:00:00.40 | Freestyle: Visibility computations 31%
Fra:1 Mem:91.92M (0.00M, Peak 175.55M) | Time:00:00.40 | Freestyle: Visibility computations 32%
Fra:1 Mem:91.92M (0.00M, Peak 175.55M) | Time:00:00.40 | Freestyle: Visibility computations 33%
Fra:1 Mem:91.92M (0.00M, Peak 175.55M) | Time:00:00.40 | Freestyle: Visibility computations 34%
Fra:1 Mem:91.92M (0.00M, Peak 175.55M) | Time:00:00.40 | Freestyle: Visibility computations 35%
